objectid,parcelcount,combinedvaccount,combinedvacpercentage,date_update,Shape__Area,Shape__Length
18795,6,0,0,2025/11/30 00:00:00+00,1230.26953125,141.77232789341
18796,26,7,26.92307692,2025/11/30 00:00:00+00,2962.16015625,334.832928979382
18797,7,0,0,2025/11/30 00:00:00+00,1879.81640625,176.812082801877
18798,7,0,0,2025/11/30 00:00:00+00,1181.94140625,143.118615849414
18799,7,1,14.28571429,2025/11/30 00:00:00+00,868.234375,125.768835583917
18800,1,0,0,2025/11/30 00:00:00+00,6397.3828125,437.355769511114
18801,7,0,0,2025/11/30 00:00:00+00,2071.49609375,185.980159466038
18802,1,,,2025/11/30 00:00:00+00,,
18803,31,0,0,2025/11/30 00:00:00+00,3141.28515625,465.833648065837
18804,1,0,0,2025/11/30 00:00:00+00,450.50390625,103.611010779027
18805,15,2,13.33333333,2025/11/30 00:00:00+00,2913.9140625,256.943916141829
18806,6,0,0,2025/11/30 00:00:00+00,1716.4765625,168.130415565106
18807,15,0,0,2025/11/30 00:00:00+00,2711.6796875,256.156156109811
18808,3,0,0,2025/11/30 00:00:00+00,239.75390625,75.5035000753114
18809,28,0,0,2025/11/30 00:00:00+00,6285.89453125,355.119182930819
18810,6,0,0,2025/11/30 00:00:00+00,1137.11328125,136.064536183124
18811,5,2,40,2025/11/30 00:00:00+00,1650.04296875,164.69346075579
18812,11,0,0,2025/11/30 00:00:00+00,1097.14453125,167.2223083117
18813,30,0,0,2025/11/30 00:00:00+00,4401.12109375,414.403960908116
18814,13,3,23.07692308,2025/11/30 00:00:00+00,3290.34765625,341.626876747286
18815,25,1,4,2025/11/30 00:00:00+00,12781.54296875,560.04051938358
18816,12,0,0,2025/11/30 00:00:00+00,1896.16796875,203.631084599558
18817,2,0,0,2025/11/30 00:00:00+00,10438.38671875,436.700890130951
18818,10,0,0,2025/11/30 00:00:00+00,996.43359375,156.980360538407
18819,15,0,0,2025/11/30 00:00:00+00,2795.08984375,245.918997615954
18820,7,0,0,2025/11/30 00:00:00+00,541.9765625,117.693544437126
18821,7,0,0,2025/11/30 00:00:00+00,1324.89453125,147.61986031584
18822,25,1,4,2025/11/30 00:00:00+00,2409.58203125,343.20874147818
18823,47,9,19.14893617,2025/11/30 00:00:00+00,5280.7109375,395.69919930796
18824,1,,,2025/11/30 00:00:00+00,,
18825,25,18,72,2025/11/30 00:00:00+00,3397.01953125,350.675394713371
18826,8,1,12.5,2025/11/30 00:00:00+00,1149.39453125,140.975056994984
18827,8,0,0,2025/11/30 00:00:00+00,137181.9765625,1465.65908844478
18828,2,0,0,2025/11/30 00:00:00+00,3809.13671875,248.522635808493
18829,1,0,0,2025/11/30 00:00:00+00,2593.20703125,206.075679638557
18830,18,0,0,2025/11/30 00:00:00+00,1937.84765625,242.269712591762
18831,10,0,0,2025/11/30 00:00:00+00,2948.58203125,258.918769800093
18832,23,4,17.39130435,2025/11/30 00:00:00+00,7986.19921875,497.181458508326
18833,8,0,0,2025/11/30 00:00:00+00,1176.65234375,145.420966569404
18834,58,15,25.86206897,2025/11/30 00:00:00+00,16482.83203125,914.533295427207
18835,16,3,18.75,2025/11/30 00:00:00+00,3355.94140625,249.297129308272
18836,11,2,18.18181818,2025/11/30 00:00:00+00,1724.65625,182.589470251477
18837,9,0,0,2025/11/30 00:00:00+00,24809.73046875,877.200664969414
18838,6,0,0,2025/11/30 00:00:00+00,5012.84765625,378.120204079589
18839,4,0,0,2025/11/30 00:00:00+00,33873.40234375,899.460334714907
18840,2,0,0,2025/11/30 00:00:00+00,548.60546875,102.412976556353
18841,7,1,14.28571429,2025/11/30 00:00:00+00,1057.66796875,134.38433002578
18842,1,0,0,2025/11/30 00:00:00+00,43758.8515625,838.088106320073
18843,12,0,0,2025/11/30 00:00:00+00,5314.30078125,411.9354691017
18844,6,0,0,2025/11/30 00:00:00+00,1083.71484375,133.894445650097
18845,9,0,0,2025/11/30 00:00:00+00,1686.7421875,172.866573203455
18846,3,0,0,2025/11/30 00:00:00+00,7205.53125,344.345819655737
18847,50,0,0,2025/11/30 00:00:00+00,35775.5,1221.01270819274
18848,6,0,0,2025/11/30 00:00:00+00,1424.71875,151.195888905888
18849,2,1,50,2025/11/30 00:00:00+00,7808.390625,419.113957303853
18850,21,1,4.76190476,2025/11/30 00:00:00+00,3198.50390625,296.229701411892
18851,50,4,8,2025/11/30 00:00:00+00,9261.828125,461.626365850525
18852,17,0,0,2025/11/30 00:00:00+00,2173.79296875,245.127776718502
18853,28,0,0,2025/11/30 00:00:00+00,2296.6171875,415.762404282417
18854,10,2,20,2025/11/30 00:00:00+00,44778.09765625,1175.01579790197
18855,20,0,0,2025/11/30 00:00:00+00,2264.5859375,253.566339650798
18856,1,0,0,2025/11/30 00:00:00+00,2313.4453125,233.03626148296
18857,6,1,16.66666667,2025/11/30 00:00:00+00,399723.2734375,3855.73898093704
18858,6,0,0,2025/11/30 00:00:00+00,3270.61328125,244.432571289238
18859,8,0,0,2025/11/30 00:00:00+00,865.74609375,129.321094302583
18860,23,0,0,2025/11/30 00:00:00+00,5538.3125,422.026868094161
18861,7,0,0,2025/11/30 00:00:00+00,1246.2421875,142.745146247183
18862,4,0,0,2025/11/30 00:00:00+00,1501.16796875,177.36627576677
18863,9,0,0,2025/11/30 00:00:00+00,4293.39453125,354.702882879261
18864,20,0,0,2025/11/30 00:00:00+00,5156.171875,340.082649945709
18865,1,0,0,2025/11/30 00:00:00+00,3447.0078125,433.457724795211
18866,21,6,28.57142857,2025/11/30 00:00:00+00,4226.73828125,305.784416926553
18867,15,0,0,2025/11/30 00:00:00+00,2679.92578125,264.801342693592
18868,1,,,2025/11/30 00:00:00+00,,
18869,2,0,0,2025/11/30 00:00:00+00,6724.38671875,329.398948172381
18870,25,4,16,2025/11/30 00:00:00+00,11944.6796875,554.087065846198
18871,1,,,2025/11/30 00:00:00+00,,
18872,19,3,15.78947368,2025/11/30 00:00:00+00,2858.6171875,275.649349028112
18873,4,1,25,2025/11/30 00:00:00+00,364.35546875,87.927053696443
18874,18,1,5.55555556,2025/11/30 00:00:00+00,5771.91015625,419.665904461652
18875,11,2,18.18181818,2025/11/30 00:00:00+00,2247.64453125,201.92243661446
18876,50,0,0,2025/11/30 00:00:00+00,24922.37890625,780.665060774338
18877,10,0,0,2025/11/30 00:00:00+00,1543.66796875,169.432694023148
18878,4,0,0,2025/11/30 00:00:00+00,1036.03515625,129.432449893196
18879,1,0,0,2025/11/30 00:00:00+00,2377.0546875,231.123127720876
